id,timestamp,device_ip,sysName,ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label,if_name
38,2025-09-17 16:54:34,192.168.99.2,S1.cisco.local,1549798,939708,0,11401,0,8371,304,304,289,2,0,0,0,0,0,10001
39,2025-09-17 16:54:34,192.168.99.3,S2.cisco.local,5483562,5188578,0,18074,0,14027,633,633,473,3,0,0,0,0,0,10001
40,2025-09-17 16:54:34,192.168.99.4,S3.cisco.local,4341771,4507378,0,4734,0,5564,311,311,280,1,0,0,0,0,0,10001
41,2025-09-17 16:54:49,192.168.99.1,R1.cisco.local,10690054,9776523,0,34986,0,27524,23928,23891,15223,0,0,10724,37,0,0,2
42,2025-09-17 16:54:49,192.168.99.2,S1.cisco.local,1552355,942443,0,11424,0,8391,305,305,290,2,0,0,0,0,0,10001
43,2025-09-17 16:54:49,192.168.99.3,S2.cisco.local,5484342,5189984,0,18084,0,14034,634,634,474,3,0,0,0,0,0,10001
44,2025-09-17 16:54:49,192.168.99.4,S3.cisco.local,4341771,4508018,0,4734,0,5566,312,312,281,1,0,0,0,0,0,10001
45,2025-09-17 16:55:04,192.168.99.1,R1.cisco.local,10695815,9780949,0,35035,0,27555,23970,23933,15243,0,0,10730,37,0,0,2
46,2025-09-17 16:55:04,192.168.99.2,S1.cisco.local,1556109,945497,0,11458,0,8412,306,306,291,2,0,0,0,0,0,10001
47,2025-09-17 16:55:04,192.168.99.3,S2.cisco.local,5487976,5191058,0,18095,0,14042,635,635,475,3,0,0,0,0,0,10001
48,2025-09-17 16:55:04,192.168.99.4,S3.cisco.local,4341771,4508530,0,4734,0,5567,313,313,282,1,0,0,0,0,0,10001
49,2025-09-17 16:55:19,192.168.99.1,R1.cisco.local,10701737,9784711,0,35087,0,27582,24016,23979,15263,0,0,10736,37,0,0,2
50,2025-09-17 16:55:19,192.168.99.2,S1.cisco.local,1559956,948551,0,11494,0,8432,307,307,292,2,0,0,0,0,0,10001
51,2025-09-17 16:55:19,192.168.99.3,S2.cisco.local,5489252,5192078,0,18111,0,14049,636,636,476,3,0,0,0,0,0,10001
52,2025-09-17 16:55:19,192.168.99.4,S3.cisco.local,4341771,4509629,0,4734,0,5569,314,314,283,1,0,0,0,0,0,10001
53,2025-09-17 16:55:34,192.168.99.1,R1.cisco.local,10706786,9788523,0,35128,0,27610,24050,24013,15282,0,0,10742,37,0,0,2
54,2025-09-17 16:55:34,192.168.99.2,S1.cisco.local,1562773,951889,0,11518,0,8450,308,308,293,2,0,0,0,0,0,10001
55,2025-09-17 16:55:34,192.168.99.3,S2.cisco.local,5490401,5193088,0,18125,0,14057,637,637,477,3,0,0,0,0,0,10001
56,2025-09-17 16:55:34,192.168.99.4,S3.cisco.local,4341771,4510141,0,4734,0,5570,315,315,284,1,0,0,0,0,0,10001
