ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label
-0.5808682260511044,-0.483903931311344,0.0,-0.6028781659181601,0.0,-0.5394007670295955,0.40077786131488985,0.4430079757261596,0.09071827394290197,-1.1960999625683568,0.0,-0.35276467977939596,-0.35428584297256516,0.0,0
-0.6078020000481063,-0.5594163632412859,0.0,-0.607298334747127,0.0,-0.5493828060788979,-0.9056400343760639,-0.9244533188061628,-1.0228952852537003,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5960990072993162,-0.5229581475766863,0.0,-0.6060264641138985,0.0,-0.5463869276078827,-0.8871248501044036,-0.9050512674907784,-1.008981732263127,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994471287764292,-0.5286897842709618,0.0,-0.6085296987348894,0.0,-0.5508205743937403,-0.9052460942851775,-0.9240405092037077,-1.0235758394760652,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5808567740447136,-0.48387937319316515,0.0,-0.6028732214450045,0.0,-0.5393928498031921,0.4019034044317081,0.4441284589328231,0.09132321102944864,-1.1960999625683568,0.0,-0.3527605457963734,-0.3533710950336301,0.0,0
-0.6077853452716462,-0.5594015803517117,0.0,-0.6072954821664605,0.0,-0.549379111373243,-0.905583757220223,-0.924394346005812,-1.022819668117882,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5960976238354568,-0.5229551464100095,0.0,-0.6060253230816318,0.0,-0.546385344162602,-0.8870685729485626,-0.9049922946904276,-1.0089061151273087,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994471287764292,-0.5286886867014343,0.0,-0.6085296987348894,0.0,-0.5508205743937403,-0.9051898171293365,-0.923981536403357,-1.023500222340247,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5808278188556071,-0.4838267841782242,0.0,-0.602858768369627,0.0,-0.53937173719945,0.40550514240552654,0.447843745354918,0.09328925656072533,-1.1960999625683568,0.0,-0.35275227783032814,-0.35245634709469514,0.0,0
-0.6077423603400691,-0.5593718602268486,0.0,-0.6072882556287716,0.0,-0.5493690828864655,-0.9055274800643821,-0.9243353732054613,-1.0227440509820636,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
