                           model  score_val   eval_metric  pred_time_val     fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
56   NeuralNetFastAI_BAG_L2_FULL        NaN  recall_macro            NaN    40.645362                     NaN           0.671934            2       True         48
57   NeuralNetFastAI_BAG_L1_FULL        NaN  recall_macro            NaN     1.954564                     NaN           1.954564            1       True         37
58          LightGBM_BAG_L4_FULL        NaN  recall_macro            NaN    98.082753                     NaN           1.869961            4       True         71
59          LightGBM_BAG_L3_FULL        NaN  recall_macro            NaN    71.470914                     NaN           2.560591            3       True         61
60          LightGBM_BAG_L2_FULL        NaN  recall_macro            NaN    42.120588                     NaN           2.147160            2       True         50
61          LightGBM_BAG_L1_FULL        NaN  recall_macro            NaN     5.736603                     NaN           5.736603            1       True         39
62        LightGBMXT_BAG_L4_FULL        NaN  recall_macro            NaN    98.462049                     NaN           2.249257            4       True         70
63        LightGBMXT_BAG_L3_FULL        NaN  recall_macro            NaN    70.114216                     NaN           1.203893            3       True         60
64        LightGBMXT_BAG_L2_FULL        NaN  recall_macro            NaN    41.915283                     NaN           1.941855            2       True         49
65        LightGBMXT_BAG_L1_FULL        NaN  recall_macro            NaN     3.862442                     NaN           3.862442            1       True         38
66     LightGBMLarge_BAG_L2_FULL        NaN  recall_macro            NaN    40.480766                     NaN           0.507338            2       True         57
67     LightGBMLarge_BAG_L1_FULL        NaN  recall_macro            NaN     1.830435                     NaN           1.830435            1       True         46
68    ExtraTreesGini_BAG_L3_FULL        NaN  recall_macro            NaN    70.569556                0.426010           1.659233            3       True         64
69    ExtraTreesGini_BAG_L2_FULL        NaN  recall_macro            NaN    41.680995                0.293661           1.707566            2       True         53
70    ExtraTreesEntr_BAG_L3_FULL        NaN  recall_macro            NaN    71.412387                0.286566           2.502064            3       True         65
71    ExtraTreesEntr_BAG_L2_FULL        NaN  recall_macro            NaN    41.655980                0.281239           1.682552            2       True         54
